Feature,F_Statistic,P_Value
flavanoids,233.92587268154838,3.598585830714539e-50
proline,207.92037390217828,5.78316835610455e-47
od280/od315_of_diluted_wines,189.97232057888206,1.393104956945986e-44
alcohol,135.07762424283948,3.319503795566952e-36
color_intensity,120.66401844100372,1.1620080219273226e-33
hue,101.31679539029965,5.917662216362997e-30
total_phenols,93.73300962036775,2.137670015437993e-28
malic_acid,36.94342496318376,4.127228798041549e-14
alcalinity_of_ash,35.77163740730817,9.444472938834056e-14
proanthocyanins,30.27138317022791,5.125358737545633e-12
nonflavanoid_phenols,27.575417146965727,3.888040900479377e-11
ash,13.312901199989989,4.149967974797001e-06
magnesium,12.429584338150178,8.963395439248853e-06
